"Visible on Frontend","Visible on Frontend"
"Customer","Customer"
"Notification Not Applicable","Notification Not Applicable"
"Notified","Notified"
"Not Notified","Not Notified"
"the order confirmation email was sent","the order confirmation email was sent"
"the order confirmation email is not sent","the order confirmation email is not sent"
"Order # %s","Order # %s"
"Order Date","Order Date"
"Order Date (%s)","Order Date (%s)"
"Order Status","Order Status"
"Purchased From","Purchased From"
"Link to the New Order","Link to the New Order"
"Link to the Previous Order","Link to the Previous Order"
"Placed from IP","Placed from IP"
"Account Information","Account Information"
"Customer Name","Customer Name"
"Email","Email"
"Customer Group","Customer Group"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Item Status","Item Status"
"Original Price","Original Price"
"Tax Percent","Tax Percent"
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Track Order","Track Order"
"No shipping information available","No shipping information available"
"Items Ordered","Items Ordered"
"Product Name","Product Name"
"Comments History","Comments History"
"Order Totals","Order Totals"
"Close","Close"
"From:","From:"
"To:","To:"
"SKU","SKU"
