"Customer","Customer"
"Notification Not Applicable","Notification Not Applicable"
"Notified","Notified"
"Not Notified","Not Notified"
"the order confirmation email was sent","the order confirmation email was sent"
"the order confirmation email is not sent","the order confirmation email is not sent"
"Order # %s","Order # %s"
"Order Date","Order Date"
"Order Date (%s)","Order Date (%s)"
"Order Status","Order Status"
"Purchased From","Purchased From"
"Link to the New Order","Link to the New Order"
"Link to the Previous Order","Link to the Previous Order"
"Placed from IP","Placed from IP"
"Account Information","Account Information"
"Customer Name","Customer Name"
"Email","Email"
"Customer Group","Customer Group"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Item Status","Item Status"
"Original Price","Original Price"
"Tax Percent","Tax Percent"
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Track Order","Track Order"
"No shipping information available","No shipping information available"
"Items Ordered","Items Ordered"
"Product Name","Product Name"
"Comments History","Comments History"
"Order Totals","Order Totals"
"Close","Close"
"From:","From:"
"To:","To:"
"SKU","SKU"
"Credit Memo","Credit Memo"
"Order View","Order View"
"Information","Information"
"%s / %s rate:","%s / %s rate:"
"Vendor - Order New","Vendor - Order New"
"Vendor can hold / unhold order","Vendor can hold / unhold order"
"Vendor can cancel order","Vendor can cancel order"
"The order address has been updated.","The order address has been updated."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"The order has been cancelled.","The order has been cancelled."
"The order has not been cancelled.","The order has not been cancelled."
"The order has been put on hold.","The order has been put on hold."
"The order was not put on hold.","The order was not put on hold."
"The order has been released from holding status.","The order has been released from holding status."
"The order was not unheld.","The order was not unheld."
"%s order(s) cannot be canceled","%s order(s) cannot be canceled"
"The order(s) cannot be canceled","The order(s) cannot be canceled"
"%s order(s) have been canceled.","%s order(s) have been canceled."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"No order(s) were put on hold.","No order(s) were put on hold."
"%s order(s) have been put on hold.","%s order(s) have been put on hold."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"No order(s) were released from holding status.","No order(s) were released from holding status."
"%s order(s) have been released from holding status.","%s order(s) have been released from holding status."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"View Memo for #%s","View Memo for #%s"
"New Memo for #%s","New Memo for #%s"
"New Memo","New Memo"
"Cannot update the item\'s quantity.","Cannot update the item\'s quantity."
"Credit memo\'s total must be positive.","Credit memo\'s total must be positive."
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"The gift message has been saved.","The gift message has been saved."
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Cancel","Cancel"
"Hold","Hold"
"Unhold","Unhold"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?"
"Capture","Capture"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Grand Total (Excl. Tax)","Grand Total (Excl. Tax)"
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
"Grand Total (Incl.Tax)","Grand Total (Incl.Tax)"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
